food,cazyme,coef,id,fdr_p,p,cazy_cat,bin,pairs,detect_dup
Milks,CBM6,-0.785714285714286,MCTs27,0.12464910854822,0.000516454747570588,CBM,Negative (+/-),Milks_CBM6,Milks_CBM6_MCTs27
Meats,AA6,0.824175824175824,MCTs35,0.129972565122004,0.000288703849745943,AA,Positive (+/+ or -/-),Meats_AA6,Meats_AA6_MCTs35
Milks,GH13,0.809681458052226,MCTs35,0.129972565122004,0.000449102557866117,GH,Positive (+/+ or -/-),Milks_GH13,Milks_GH13_MCTs35
Milks,GH133,0.785479023164795,MCTs35,0.129972565122004,0.000870629622826822,GH,Positive (+/+ or -/-),Milks_GH133,Milks_GH133_MCTs35
Milks,GH89,-0.805281015345421,MCTs35,0.129972565122004,0.000509897129213198,GH,Negative (+/-),Milks_GH89,Milks_GH89_MCTs35
Sweets and Beverages,GH24,0.789010989010989,MCTs35,0.129972565122004,0.000794614411654495,GH,Positive (+/+ or -/-),Sweets and Beverages_GH24,Sweets and Beverages_GH24_MCTs35
Sweets and Beverages,GT35,0.797802197802198,MCTs35,0.129972565122004,0.000628275822458177,GT,Positive (+/+ or -/-),Sweets and Beverages_GT35,Sweets and Beverages_GT35_MCTs35
Sweets and Beverages,GT19,0.738778713620102,MCTs07,0.131415444281467,0.00107878349783294,GT,Positive (+/+ or -/-),Sweets and Beverages_GT19,Sweets and Beverages_GT19_MCTs07
Milks,GH84,-0.778571428571428,MCTs27,0.132161135495421,0.000627350129480357,GH,Negative (+/-),Milks_GH84,Milks_GH84_MCTs27
Milks,GH85,0.775,MCTs27,0.132161135495421,0.000689645393951437,GH,Positive (+/+ or -/-),Milks_GH85,Milks_GH85_MCTs27
Grains,GH10,-0.583333333333333,MCTs32,0.132722884377962,0.0139708299345223,GH,Negative (+/-),Grains_GH10,Grains_GH10_MCTs32
Fruits,GH30,-0.74264705882353,MCTs33,0.138714915925687,0.000638246691161088,GH,Negative (+/-),Fruits_GH30,Fruits_GH30_MCTs33
Fruits,GH77,0.762254901960784,MCTs33,0.138714915925687,0.000374943967328615,GH,Positive (+/+ or -/-),Fruits_GH77,Fruits_GH77_MCTs33
Fruits,GH53,-0.732843137254902,MCTs33,0.138714915925687,0.000818701045408342,GH,Negative (+/-),Fruits_GH53,Fruits_GH53_MCTs33
Grains,GH143,-0.727941176470588,MCTs33,0.138714915925687,0.000923646534614136,GH,Negative (+/-),Grains_GH143,Grains_GH143_MCTs33
