nodes	type
Fats_CBM72	CBM
Fats_CBM9	CBM
Fats_AA6	AA
Fats_CE1	CE
Fats_CE10	CE
Fats_CE11	CE
Fats_CE12	CE
Fats_CE14	CE
Fats_CE15	CE
Fats_CE3	CE
Fats_CE4	CE
Fats_CE6	CE
Fats_CE7	CE
Fats_CE8	CE
Fats_CE9	CE
Fats_GH10	GH
Fats_GH105	GH
Fats_GH106	GH
Fats_GH109	GH
Fats_GH110	GH
Fats_GH115	GH
Fats_GH116	GH
Fats_GH123	GH
Fats_GH125	GH
Fats_GH127	GH
Fats_GH13	GH
Fats_GH130	GH
Fats_GH133	GH
Fats_GH138	GH
Fats_GH139	GH
Fats_GH140	GH
Fats_GH141	GH
Fats_GH142	GH
Fats_GH144	GH
Fats_GH145	GH
Fats_GH15	GH
Fats_GH18	GH
Fats_GH2	GH
Fats_GH20	GH
Fats_GH23	GH
Fats_GH24	GH
Fats_GH26	GH
Fats_GH27	GH
Fats_GH28	GH
Fats_GH29	GH
Fats_GH3	GH
Fats_GH30	GH
Fats_GH31	GH
Fats_GH32	GH
Fats_GH33	GH
Fats_GH35	GH
Fats_GH36	GH
Fats_GH38	GH
Fats_GH42	GH
Fats_GH43	GH
Fats_GH5	GH
Fats_GH51	GH
Fats_GH53	GH
Fats_GH57	GH
Fats_GH63	GH
Fats_GH65	GH
Fats_GH66	GH
Fats_GH67	GH
Fats_GH73	GH
Fats_GH76	GH
Fats_GH77	GH
Fats_GH78	GH
Fats_GH84	GH
Fats_GH88	GH
Fats_GH89	GH
Fats_GH9	GH
Fats_GH92	GH
Fats_GH94	GH
Fats_GH95	GH
Fats_GH97	GH
Fats_GH99	GH
Fats_GT101	GT
Fats_GT14	GT
Fats_GT19	GT
Fats_GT2	GT
Fats_GT27	GT
Fats_GT28	GT
Fats_GT3	GT
Fats_GT30	GT
Fats_GT35	GT
Fats_GT4	GT
Fats_GT5	GT
Fats_GT51	GT
Fats_GT83	GT
Fats_GT9	GT
Fats_GT90	GT
Fats_PL1	PL
Fats_PL10	PL
Fats_PL11	PL
Fats_PL12	PL
Fats_PL15	PL
Fats_PL22	PL
Fats_PL26	PL
Fats_PL6	PL
Fats_PL8	PL
Fats_PL9	PL
Grains_GH39	GH
Grains_GT5	GT
Grains_PL12	PL
Meats_CBM51	CBM
Milks_CBM51	CBM
Grains_GH4	GH
Meats_CBM12	CBM
Meats_GH25	GH
Meats_GT2	GT
Meats_GT28	GT
Sweets and Beverages_CBM12	CBM
Sweets and Beverages_CBM58	CBM
Sweets and Beverages_CE14	CE
Sweets and Beverages_GH141	GH
Sweets and Beverages_GH144	GH
Sweets and Beverages_GH53	GH
Vegetables_CBM58	CBM
Grains_PL15	PL
Meats_CBM67	CBM
MCTs05	subjects
MCTs09	subjects
MCTs10	subjects
MCTs16	subjects
MCTs20	subjects
MCTs22	subjects
MCTs29	subjects
MCTs33	subjects
MCTs34	subjects
